Date,Average Temperature (°C),City
2011-01-12,8.475,Balikesir
2011-01-13,6.633333333,Balikesir
2011-01-14,6.375,Balikesir
2011-01-15,7.116666667,Balikesir
2011-01-16,6.475,Balikesir
2011-01-17,5.920833333,Balikesir
2011-01-18,4.808333333,Balikesir
2011-01-19,3.166666667,Balikesir
2011-01-20,5.529166667,Balikesir
2011-01-21,8.579166667,Balikesir
2011-01-22,9.358333333,Balikesir
2011-01-23,9.916666667,Balikesir
2011-01-24,8.554166667,Balikesir
2011-01-25,3.8625,Balikesir
2011-01-26,2.283333333,Balikesir
2011-01-27,3.245833333,Balikesir
2011-01-28,3.029166667,Balikesir
2011-01-29,3.720833333,Balikesir
2011-01-30,2.420833333,Balikesir
2011-01-31,1.9625,Balikesir
2011-02-01,1.016666667,Balikesir
2011-02-02,1.408333333,Balikesir
2011-02-03,2.1,Balikesir
2011-02-04,2.4,Balikesir
2011-02-05,3.658333333,Balikesir
2011-02-06,5.633333333,Balikesir
2011-02-07,4.545833333,Balikesir
2011-02-08,6.516666667,Balikesir
2011-02-09,5.316666667,Balikesir
2011-02-10,3.8125,Balikesir
2011-02-11,2.475,Balikesir
2011-02-12,5.191666667,Balikesir
2011-02-13,5.366666667,Balikesir
2011-02-14,6.608333333,Balikesir
2011-02-15,4.216666667,Balikesir
2011-02-16,2.075,Balikesir
2011-02-17,6.345833333,Balikesir
2011-02-18,9.708333333,Balikesir
2011-02-19,9.504166667,Balikesir
2011-02-20,5.154166667,Balikesir
2011-02-21,4.35,Balikesir
2011-02-22,6.583333333,Balikesir
2011-02-23,7.483333333,Balikesir
2011-02-24,6.520833333,Balikesir
2011-02-25,5.579166667,Balikesir
2011-02-26,2.879166667,Balikesir
2011-02-27,2.7125,Balikesir
2011-02-28,3.495833333,Balikesir
2011-03-01,3.195833333,Balikesir
2011-03-02,4.108333333,Balikesir
2011-03-03,4.629166667,Balikesir
2011-03-04,3.804166667,Balikesir
2011-03-05,4.741666667,Balikesir
2011-03-06,6.008333333,Balikesir
2011-03-07,3.366666667,Balikesir
2011-03-08,0.870833333,Balikesir
2011-03-09,-0.916666667,Balikesir
2011-03-10,-0.983333333,Balikesir
2011-03-11,1.85,Balikesir
2011-03-12,5.570833333,Balikesir
2011-03-13,8.691666667,Balikesir
2011-03-14,9.491666667,Balikesir
2011-03-15,10.67916667,Balikesir
2011-03-16,11.2875,Balikesir
2011-03-17,11.8,Balikesir
2011-03-18,10.50416667,Balikesir
2011-03-19,11.28333333,Balikesir
2011-03-20,8.058333333,Balikesir
2011-03-21,5.675,Balikesir
2011-03-22,4.520833333,Balikesir
2011-03-23,4.4375,Balikesir
2011-03-24,5.920833333,Balikesir
2011-03-25,9.483333333,Balikesir
2011-03-26,11.20833333,Balikesir
2011-03-27,12.2625,Balikesir
2011-03-28,11.74166667,Balikesir
2011-03-29,13.04166667,Balikesir
2011-03-30,13.56666667,Balikesir
2011-03-31,12.35,Balikesir
2011-04-01,9.3125,Balikesir
2011-04-02,7.2375,Balikesir
2011-04-03,7.608333333,Balikesir
2011-04-04,6.629166667,Balikesir
2011-04-05,8.275,Balikesir
2011-04-06,8.258333333,Balikesir
2011-04-07,9.616666667,Balikesir
2011-04-08,12.7,Balikesir
2011-04-09,14.02916667,Balikesir
2011-04-10,11.65,Balikesir
2011-04-11,7.595833333,Balikesir
2011-04-12,8.341666667,Balikesir
2011-04-13,13.29583333,Balikesir
2011-04-14,10.875,Balikesir
2011-04-15,9.591666667,Balikesir
2011-04-16,9.858333333,Balikesir
2011-04-17,8.845833333,Balikesir
2011-04-18,7.895833333,Balikesir
2011-04-19,7.9875,Balikesir
2011-04-20,8.433333333,Balikesir
2011-04-21,8.2,Balikesir
2011-04-22,7.208333333,Balikesir
2011-04-23,7.491666667,Balikesir
2011-04-24,8.2125,Balikesir
2011-04-25,8.591666667,Balikesir
2011-04-26,10.6,Balikesir
2011-04-27,10.70833333,Balikesir
2011-04-28,12.79166667,Balikesir
2011-04-29,11.96666667,Balikesir
2011-04-30,14.69166667,Balikesir
2011-05-01,16.02916667,Balikesir
2011-05-02,17.14583333,Balikesir
2011-05-03,17.2875,Balikesir
2011-05-04,16.11666667,Balikesir
2011-05-05,13.35,Balikesir
2011-05-06,9.5625,Balikesir
2011-05-07,10.33333333,Balikesir
2011-05-08,12.79166667,Balikesir
2011-05-09,10.82916667,Balikesir
2011-05-10,10.89583333,Balikesir
2011-05-11,11.1375,Balikesir
2011-05-12,10.8375,Balikesir
2011-05-13,12.51666667,Balikesir
2011-05-14,15.65833333,Balikesir
2011-05-15,17.775,Balikesir
2011-05-16,19.50833333,Balikesir
2011-05-17,19.56666667,Balikesir
2011-05-18,16.58333333,Balikesir
2011-05-19,15.825,Balikesir
2011-05-20,16.58333333,Balikesir
2011-05-21,17.33333333,Balikesir
2011-05-22,18.17916667,Balikesir
2011-05-23,18.45,Balikesir
2011-05-24,19.09166667,Balikesir
2011-05-25,19.47083333,Balikesir
2011-05-26,20.15416667,Balikesir
2011-05-27,18.15,Balikesir
2011-05-28,17.38333333,Balikesir
2011-05-29,17.26666667,Balikesir
2011-05-30,18.3625,Balikesir
2011-05-31,19.35,Balikesir
2011-06-01,19.65,Balikesir
2011-06-02,20.1,Balikesir
2011-06-03,20.7625,Balikesir
2011-06-04,21.01666667,Balikesir
2011-06-05,21.10833333,Balikesir
2011-06-06,21.29583333,Balikesir
2011-06-07,21.1,Balikesir
2011-06-08,25.1875,Balikesir
2011-06-09,26.95,Balikesir
2011-06-10,22.39583333,Balikesir
2011-06-11,20.92083333,Balikesir
2011-06-12,20.1375,Balikesir
2011-06-13,19.4375,Balikesir
2011-06-14,20.29166667,Balikesir
2011-06-15,20.85416667,Balikesir
2011-06-16,20.19166667,Balikesir
2011-06-17,20.5875,Balikesir
2011-06-18,21.74166667,Balikesir
2011-06-19,23.075,Balikesir
2011-06-20,24.7125,Balikesir
2011-06-21,22.6125,Balikesir
2011-06-22,21.825,Balikesir
2011-06-23,22.37916667,Balikesir
2011-06-24,22.97916667,Balikesir
2011-06-25,22.79166667,Balikesir
2011-06-26,19.3375,Balikesir
2011-06-27,18.7,Balikesir
2011-06-28,20.40833333,Balikesir
2011-06-29,21.46666667,Balikesir
2011-06-30,22.22083333,Balikesir
2011-07-01,23.27083333,Balikesir
2011-07-02,22.43333333,Balikesir
2011-07-03,25.70416667,Balikesir
2011-07-04,22.02083333,Balikesir
2011-07-05,23.5625,Balikesir
2011-07-06,25.57083333,Balikesir
2011-07-07,24.3375,Balikesir
2011-07-08,24.8125,Balikesir
2011-07-09,24.51666667,Balikesir
2011-07-10,24.79583333,Balikesir
2011-07-11,25.15,Balikesir
2011-07-12,24.9875,Balikesir
2011-07-13,24.76666667,Balikesir
2011-07-14,25.32916667,Balikesir
2011-07-15,25.675,Balikesir
2011-07-16,25.4625,Balikesir
2011-07-17,27.7625,Balikesir
2011-07-18,26.81666667,Balikesir
2011-07-19,27.3,Balikesir
2011-07-20,28.57916667,Balikesir
2011-07-21,28.4625,Balikesir
2011-07-22,26.6875,Balikesir
2011-07-23,27.1625,Balikesir
2011-07-24,27.8,Balikesir
2011-07-25,27.74166667,Balikesir
2011-07-26,28.36666667,Balikesir
