No    ,Deprem Kodu,Olus tarihi,Olus zamani,Enlem,Boylam,Der(km),xM,MD,ML,Mw,Ms,Mb,Tip,Yer
80,2.02E+13,2024-02-03,09:28.2,37.3847,43.8403,5,4.1,0,4,4.1,0,0,Ke,CANAKLI- (HAKKARI) [South West  6.0 km]
81,2.02E+13,2024-01-27,19:19.3,37.9567,27.1285,5.3,5.1,0,5.1,5,0,0,Ke,KUSADASI KORFEZI (EGE DENIZI)
82,2.02E+13,2024-01-25,01:48.1,37.8342,36.1252,5,4.3,0,4.3,4.2,0,0,Ke,DEGIRMENCIUSAGI-SAIMBEYLI (ADANA) [South West  3.1 km]
83,2.02E+13,2024-01-25,04:04.5,38.175,38.4357,4.2,5.3,0,5.3,5.1,0,0,Ke,AKSU-SINCIK (ADIYAMAN) [North West  7.2 km]
84,2.02E+13,2024-01-22,53:27.1,38.4568,44.206,5,4,0,3.9,4,0,0,Ke,ORENBURC-SARAY (VAN) [South East  4.2 km]
85,2.02E+13,2024-01-19,27:35.3,38.8155,37.4568,2.9,4.5,0,4.5,4.2,0,0,Ke,BAGLICAY-GURUN (SIVAS) [North West  2.0 km]
86,2.02E+13,2024-01-18,37:24.1,38.1033,38.3403,6.6,4.1,0,4,4.1,0,0,Ke,TASDAMLAR-CELIKHAN (ADIYAMAN) [North 1.7 km]
87,2.02E+13,2024-01-18,05:34.8,37.6727,35.3987,5,4,0,4,4,0,0,Ke,KUP-ALADAG (ADANA) [West 8.4 km]
88,2.02E+13,2024-01-14,01:47.8,40.8992,31.6603,5.8,4.1,0,4.1,3.9,0,0,Ke,MESCICELE- (BOLU) [North West  8.0 km]
89,2.02E+13,2024-01-10,40:23.2,36.5428,27.683,11.6,4.3,0,4.3,4.1,0,0,Ke,AKDENIZ
90,2.02E+13,2024-01-10,38:41.9,36.1482,35.8713,8.5,4.1,0,4.1,4.1,0,0,Ke,KAPISUYU-SAMANDAG (HATAY) [North West  6.5 km]
91,2.02E+13,2024-01-09,34:30.7,40.5478,35.181,3.1,4.3,0,4.3,4.2,0,0,Ke,ELVANCELEBI-MECITOZU (CORUM) [South East  2.7 km]
92,2.02E+13,2024-01-09,20:09.5,37.9942,37.451,5,4,0,3.9,4,0,0,Ke,NURHAK (KAHRAMANMARAS) [North 3.2 km]
93,2.02E+13,2024-01-08,19:10.9,38.2425,38.7448,1.9,4.4,0,4.3,4.4,0,0,Ke,BALPINARI-PUTURGE (MALATYA) [South East  1.0 km]
