date,relative_humidity_2m,City
2024-10-16,86.041664,Düzce
2024-10-16,40.833332,Erzincan
2024-10-16,66.958336,Hatay
2024-10-16,80.208336,Istanbul
2024-10-16,47.75,Izmir
2024-10-16,82.833336,Kocaeli
2024-10-16,59.708332,Manisa
2024-10-16,63.916668,Mus
2024-10-16,87.125,Sakarya
2024-10-16,73.708336,Tekirdag
2024-10-16,52.916668,Van
2024-10-15,65.75,Balikesir
2024-10-15,55.458332,Bingöl
2024-10-15,67.875,Bursa
2024-10-15,67.916664,Çanakkale
2024-10-15,85.708336,Düzce
2024-10-15,44.666668,Erzincan
2024-10-15,68.375,Hatay
2024-10-15,78.833336,Istanbul
2024-10-15,48.291668,Izmir
2024-10-15,79.916664,Kocaeli
2024-10-15,56.083332,Manisa
2024-10-15,72.625,Mus
2024-10-15,85.875,Sakarya
2024-10-15,74,Tekirdag
2024-10-15,65.083336,Van
2024-10-14,65.541664,Balikesir
2024-10-14,63.541668,Bingöl
2024-10-14,78.125,Bursa
2024-10-14,72.083336,Çanakkale
2024-10-14,87.083336,Düzce
2024-10-14,49.083332,Erzincan
2024-10-14,66.666664,Hatay
2024-10-14,75.416664,Istanbul
2024-10-14,55.166668,Izmir
2024-10-14,80.791664,Kocaeli
2024-10-14,62.708332,Manisa
2024-10-14,80.333336,Mus
2024-10-14,84.041664,Sakarya
2024-10-14,71.5,Tekirdag
2024-10-14,63.083332,Van
2024-10-13,75.125,Balikesir
2024-10-13,46.583332,Bingöl
2024-10-13,82.125,Bursa
2024-10-13,76.791664,Çanakkale
2024-10-13,91,Düzce
2024-10-13,43.625,Erzincan
2024-10-13,71.416664,Hatay
2024-10-13,78.458336,Istanbul
2024-10-13,62.166668,Izmir
2024-10-13,83.041664,Kocaeli
2024-10-13,65.333336,Manisa
2024-10-13,49.958332,Mus
2024-10-13,85.916664,Sakarya
2024-10-13,74.958336,Tekirdag
2024-10-13,47.291668,Van
2024-10-12,67.375,Balikesir
2024-10-12,42.375,Bingöl
2024-10-12,74.083336,Bursa
2024-10-12,81.75,Çanakkale
2024-10-12,82.375,Düzce
2024-10-12,40.75,Erzincan
2024-10-12,68.083336,Hatay
2024-10-12,82.291664,Istanbul
2024-10-12,62.666668,Izmir
2024-10-12,78.041664,Kocaeli
2024-10-12,66.583336,Manisa
2024-10-12,40.125,Mus
2024-10-12,80.041664,Sakarya
2024-10-12,81.5,Tekirdag
2024-10-12,35.916668,Van
2024-10-11,66.75,Balikesir
2024-10-11,44.916668,Bingöl
2024-10-11,60.5,Bursa
2024-10-11,74.5,Çanakkale
2024-10-11,70.833336,Düzce
2024-10-11,38.75,Erzincan
2024-10-11,65.833336,Hatay
2024-10-11,73.416664,Istanbul
2024-10-11,64.125,Izmir
2024-10-11,71.75,Kocaeli
2024-10-11,65.333336,Manisa
2024-10-11,42.666668,Mus
2024-10-11,66.666664,Sakarya
2024-10-11,73.166664,Tekirdag
2024-10-11,29.958334,Van
2024-10-10,66.791664,Balikesir
2024-10-10,37.458332,Bingöl
2024-10-10,58.708332,Bursa
2024-10-10,72.666664,Çanakkale
2024-10-10,75.125,Düzce
2024-10-10,34.541668,Erzincan
2024-10-10,69.333336,Hatay
2024-10-10,72.791664,Istanbul
2024-10-10,69.041664,Izmir
2024-10-10,72.5,Kocaeli
2024-10-10,66.791664,Manisa
2024-10-10,39,Mus
2024-10-10,76.291664,Sakarya
2024-10-10,76.416664,Tekirdag
2024-10-10,32.25,Van
2024-10-09,58.166668,Balikesir
2024-10-09,37.666668,Bingöl
2024-10-09,56.958332,Bursa
2024-10-09,68.541664,Çanakkale
2024-10-09,76.75,Düzce
2024-10-09,42.458332,Erzincan
2024-10-09,64.166664,Hatay
2024-10-09,75.708336,Istanbul
2024-10-09,64.541664,Izmir
2024-10-09,75.666664,Kocaeli
2024-10-09,58.5,Manisa
2024-10-09,41.916668,Mus
2024-10-09,80.875,Sakarya
2024-10-09,62.083332,Tekirdag
2024-10-09,36.625,Van
2024-10-08,67.458336,Balikesir
2024-10-08,41.666668,Bingöl
2024-10-08,74.291664,Bursa
2024-10-08,72.791664,Çanakkale
2024-10-08,85.166664,Düzce
2024-10-08,40.083332,Erzincan
2024-10-08,70.166664,Hatay
2024-10-08,67.166664,Istanbul
2024-10-08,65.833336,Izmir
2024-10-08,79.125,Kocaeli
2024-10-08,63.5,Manisa
2024-10-08,50.25,Mus
2024-10-08,84.875,Sakarya
2024-10-08,63.166668,Tekirdag
2024-10-08,43.75,Van
2024-10-07,67.291664,Balikesir
2024-10-07,35.25,Bingöl
2024-10-07,79.916664,Bursa
2024-10-07,74.041664,Çanakkale
2024-10-07,85.791664,Düzce
2024-10-07,40.791668,Erzincan
2024-10-07,59.333332,Hatay
2024-10-07,76.875,Istanbul
2024-10-07,61.25,Izmir
2024-10-07,82.125,Kocaeli
2024-10-07,61,Manisa
2024-10-07,46.333332,Mus
2024-10-07,85.333336,Sakarya
2024-10-07,79.125,Tekirdag
2024-10-07,34.208332,Van
2024-10-06,61,Balikesir
2024-10-06,35,Bingöl
2024-10-06,62.083332,Bursa
2024-10-06,72.375,Çanakkale
2024-10-06,71.458336,Düzce
2024-10-06,43.75,Erzincan
2024-10-06,58.583332,Hatay
2024-10-06,73.125,Istanbul
2024-10-06,52.333332,Izmir
2024-10-06,67.125,Kocaeli
2024-10-06,55.875,Manisa
2024-10-06,54.458332,Mus
2024-10-06,74.208336,Sakarya
2024-10-06,67.583336,Tekirdag
2024-10-06,41.833332,Van
2024-10-05,43.708332,Balikesir
2024-10-05,44.125,Bingöl
2024-10-05,53.916668,Bursa
2024-10-05,63,Çanakkale
2024-10-05,72.791664,Düzce
2024-10-05,43.75,Erzincan
2024-10-05,60.958332,Hatay
2024-10-05,59.958332,Istanbul
2024-10-05,47.208332,Izmir
2024-10-05,65.708336,Kocaeli
2024-10-05,49.25,Manisa
2024-10-05,42.666668,Mus
2024-10-05,62.5,Sakarya
